taxon_species,taxon_genus,taxon_family,taxon_order,Maximum longevity (years),generation time (days)
Chiropotes satanas,Chiropotes,Pitheciidae,Primates,19.6,1620
Pithecia pithecia,Pithecia,Pitheciidae,Primates,36,933
Plecturocebus cupreus,Plecturocebus,Pitheciidae,Primates,26.4,1228
Plecturocebus moloch,Plecturocebus,Pitheciidae,Primates,26.2,1075
Cephalopachus bancanus,Cephalopachus,Tarsiidae,Primates,16.3,1098
Elephas maximus,Elephas,Elephantidae,Proboscidea,79.6,3931
Loxodonta africana,Loxodonta,Elephantidae,Proboscidea,65,4688
Fukomys damarensis,Fukomys,Bathyergidae,Rodentia,15.5,604
Cryptomys hottentotus,Cryptomys,Bathyergidae,Rodentia,11,531
Georychus capensis,Georychus,Bathyergidae,Rodentia,11.2,348
Heterocephalus glaber,Heterocephalus,Bathyergidae,Rodentia,31,298
Capromys pilorides,Capromys,Capromyidae,Rodentia,13.8,429
Geocapromys brownii,Geocapromys,Capromyidae,Rodentia,13.5,488
Castor canadensis,Castor,Castoridae,Rodentia,23.4,767
Cavia aperea,Cavia,Caviidae,Rodentia,6,137
Cavia porcellus,Cavia,Caviidae,Rodentia,12,134
Cavia tschudii,Cavia,Caviidae,Rodentia,6.3,126
Dolichotis patagonum,Dolichotis,Caviidae,Rodentia,14.4,243
Galea musteloides,Galea,Caviidae,Rodentia,3.5,120
Galea spixii,Galea,Caviidae,Rodentia,4.6,123
Hydrochoerus hydrochaeris,Hydrochoerus,Hydrochaeridae,Rodentia,15.1,606
Kerodon rupestris,Kerodon,Caviidae,Rodentia,12.9,226
Chinchilla lanigera,Chinchilla,Chinchillidae,Rodentia,17.2,351
Lagostomus maximus,Lagostomus,Chinchillidae,Rodentia,10.8,412
Arvicola amphibius,Arvicola,Cricetidae,Rodentia,2.5,72
Baiomys taylori,Baiomys,Cricetidae,Rodentia,3.3,64
Cricetus cricetus,Cricetus,Cricetidae,Rodentia,3.6,63
Dicrostonyx groenlandicus,Dicrostonyx,Cricetidae,Rodentia,3.3,60
Ellobius talpinus,Ellobius,Cricetidae,Rodentia,6.4,120
Lagurus lagurus,Lagurus,Cricetidae,Rodentia,3.8,58
Lemmus lemmus,Lemmus,Cricetidae,Rodentia,3.3,43
Mesocricetus auratus,Mesocricetus,Cricetidae,Rodentia,3.9,64
Mesocricetus brandti,Mesocricetus,Cricetidae,Rodentia,4.4,56
Microtus agrestis,Microtus,Cricetidae,Rodentia,4.8,57
Microtus arvalis,Microtus,Cricetidae,Rodentia,4.8,59
Microtus guentheri,Microtus,Cricetidae,Rodentia,3.9,81
Microtus ochrogaster,Microtus,Cricetidae,Rodentia,5.3,70
Microtus pinetorum,Microtus,Cricetidae,Rodentia,3.8,119
Myodes glareolus,Myodes,Cricetidae,Rodentia,4.9,67
Neotoma albigula,Neotoma,Cricetidae,Rodentia,9.5,113
Neotoma floridana,Neotoma,Cricetidae,Rodentia,8.6,128
Neotoma lepida,Neotoma,Cricetidae,Rodentia,10.5,109
Onychomys leucogaster,Onychomys,Cricetidae,Rodentia,5.6,131
Onychomys torridus,Onychomys,Cricetidae,Rodentia,4.6,71
Peromyscus californicus,Peromyscus,Cricetidae,Rodentia,5.5,76
Peromyscus crinitus,Peromyscus,Cricetidae,Rodentia,7.7,94
Peromyscus eremicus,Peromyscus,Cricetidae,Rodentia,7.4,155
Peromyscus guatemalensis,Peromyscus,Cricetidae,Rodentia,5.7,81
Peromyscus leucopus,Peromyscus,Cricetidae,Rodentia,7.9,99
Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8.3,73
Peromyscus polionotus,Peromyscus,Cricetidae,Rodentia,5.5,52
Peromyscus truei,Peromyscus,Cricetidae,Rodentia,5.4,76
Phodopus roborovskii,Phodopus,Cricetidae,Rodentia,4.8,264
Phodopus sungorus,Phodopus,Cricetidae,Rodentia,3.9,140
Podomys floridanus,Podomys,Cricetidae,Rodentia,7.4,63
Sigmodon hispidus,Sigmodon,Cricetidae,Rodentia,5.2,67
Tylomys nudicaudus,Tylomys,Cricetidae,Rodentia,5.4,122
Ctenodactylus gundi,Ctenodactylus,Ctenodactylidae,Rodentia,5.8,393
Cuniculus paca,Cuniculus,Cuniculidae,Rodentia,16.3,481
Cuniculus taczanowskii,Cuniculus,Cuniculidae,Rodentia,18.9,457
Dasyprocta leporina,Dasyprocta,Dasyproctidae,Rodentia,17.8,305
Dasyprocta punctata,Dasyprocta,Dasyproctidae,Rodentia,13.8,599
Myoprocta acouchy,Myoprocta,Dasyproctidae,Rodentia,14.8,403
Jaculus jaculus,Jaculus,Dipodidae,Rodentia,7.3,365
Zapus hudsonius,Zapus,Dipodidae,Rodentia,5.6,80
Proechimys brevicauda,Proechimys,Echimyidae,Rodentia,6.8,212
Proechimys semispinosus,Proechimys,Echimyidae,Rodentia,5.8,210
Thrichomys apereoides,Thrichomys,Echimyidae,Rodentia,7,272
Coendou prehensilis,Coendou,Erethizontidae,Rodentia,26.6,781
Geomys bursarius,Geomys,Geomyidae,Rodentia,12,142
Thomomys bottae,Thomomys,Geomyidae,Rodentia,6.1,338
Eliomys melanurus,Eliomys,Gliridae,Rodentia,6.2,573
Eliomys quercinus,Eliomys,Gliridae,Rodentia,5.5,388
Glirulus japonicus,Glirulus,Gliridae,Rodentia,7,175
Glis glis,Glis,Gliridae,Rodentia,8.7,347
Muscardinus avellanarius,Muscardinus,Gliridae,Rodentia,5.3,358
Chaetodipus fallax,Chaetodipus,Heteromyidae,Rodentia,8.3,191
Chaetodipus formosus,Chaetodipus,Heteromyidae,Rodentia,7.1,393
Dipodomys deserti,Dipodomys,Heteromyidae,Rodentia,8.6,81
Dipodomys heermanni,Dipodomys,Heteromyidae,Rodentia,8.3,84
Dipodomys merriami,Dipodomys,Heteromyidae,Rodentia,9.7,130
Dipodomys ordii,Dipodomys,Heteromyidae,Rodentia,9.9,90
Dipodomys spectabilis,Dipodomys,Heteromyidae,Rodentia,12.7,333
Perognathus longimembris,Perognathus,Heteromyidae,Rodentia,8.3,173
Perognathus parvus,Perognathus,Heteromyidae,Rodentia,5.8,124
Hystrix africaeaustralis,Hystrix,Hystricidae,Rodentia,23.1,469
Acomys cahirinus,Acomys,Muridae,Rodentia,5.9,96
Apodemus argenteus,Apodemus,Muridae,Rodentia,5,84
Apodemus flavicollis,Apodemus,Muridae,Rodentia,4.5,78
Apodemus peninsulae,Apodemus,Muridae,Rodentia,4.4,77
Apodemus sylvaticus,Apodemus,Muridae,Rodentia,6.3,94
Arvicanthis niloticus,Arvicanthis,Muridae,Rodentia,6.7,67
Chiropodomys gliroides,Chiropodomys,Muridae,Rodentia,3.6,121
Gerbilliscus afra,Gerbilliscus,Muridae,Rodentia,5.7,175
Gerbilliscus validus,Gerbilliscus,Muridae,Rodentia,5,124
Gerbillus perpallidus,Gerbillus,Muridae,Rodentia,5.5,113
Gerbillus pyramidum,Gerbillus,Muridae,Rodentia,8.2,95
Grammomys dolichurus,Grammomys,Muridae,Rodentia,4.4,97
Hydromys chrysogaster,Hydromys,Muridae,Rodentia,7.3,199
Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,4.8,193
Leporillus conditor,Leporillus,Muridae,Rodentia,5.3,265
Meriones crassus,Meriones,Muridae,Rodentia,5.6,83
Meriones libycus,Meriones,Muridae,Rodentia,5.2,117
Meriones unguiculatus,Meriones,Muridae,Rodentia,6.3,68
Mesembriomys gouldii,Mesembriomys,Muridae,Rodentia,7.8,115
Micromys minutus,Micromys,Muridae,Rodentia,3.8,60
Mus minutoides,Mus,Muridae,Rodentia,4.3,80
Mus musculus,Mus,Muridae,Rodentia,4,61
Mus spicilegus,Mus,Muridae,Rodentia,3.5,85
Notomys alexis,Notomys,Muridae,Rodentia,6.4,110
Notomys mitchellii,Notomys,Muridae,Rodentia,5.3,110
Pachyuromys duprasi,Pachyuromys,Muridae,Rodentia,8.3,75
Praomys tullbergi,Praomys,Muridae,Rodentia,5.2,106
Psammomys obesus,Psammomys,Muridae,Rodentia,3.2,124
Pseudomys australis,Pseudomys,Muridae,Rodentia,7.9,176
Rattus fuscipes,Rattus,Muridae,Rodentia,5.3,133
Rattus lutreolus,Rattus,Muridae,Rodentia,4.4,106
Rattus norvegicus,Rattus,Muridae,Rodentia,3.8,111
Rattus rattus,Rattus,Muridae,Rodentia,4.2,112
Rhabdomys pumilio,Rhabdomys,Muridae,Rodentia,4.5,67
Rhombomys opimus,Rhombomys,Muridae,Rodentia,4.5,133
Tatera indica,Tatera,Muridae,Rodentia,7,103
Myocastor coypus,Myocastor,Myocastoridae,Rodentia,19,283
Cricetomys emini,Cricetomys,Nesomyidae,Rodentia,7.4,196
Cricetomys gambianus,Cricetomys,Nesomyidae,Rodentia,8.4,192
Hypogeomys antimena,Hypogeomys,Nesomyidae,Rodentia,12.6,850
Mystromys albicaudatus,Mystromys,Nesomyidae,Rodentia,6.3,147
Saccostomus campestris,Saccostomus,Nesomyidae,Rodentia,4.5,66
Octodon degus,Octodon,Octodontidae,Rodentia,14,272
Pedetes capensis,Pedetes,Pedetidae,Rodentia,20,1114
Ammospermophilus harrisii,Ammospermophilus,Sciuridae,Rodentia,10.6,349
Ammospermophilus leucurus,Ammospermophilus,Sciuridae,Rodentia,11.2,394
Callosciurus notatus,Callosciurus,Sciuridae,Rodentia,14.8,462
Callospermophilus lateralis,Callospermophilus,Sciuridae,Rodentia,10.4,667
Cynomys ludovicianus,Cynomys,Sciuridae,Rodentia,15,760
Glaucomys sabrinus,Glaucomys,Sciuridae,Rodentia,14.2,250
Glaucomys volans,Glaucomys,Sciuridae,Rodentia,19,250
Ictidomys tridecemlineatus,Ictidomys,Sciuridae,Rodentia,7.9,382
Marmota caligata,Marmota,Sciuridae,Rodentia,12.1,937
Marmota flaviventris,Marmota,Sciuridae,Rodentia,21.2,760
Marmota marmota,Marmota,Sciuridae,Rodentia,17.4,765
Marmota monax,Marmota,Sciuridae,Rodentia,14,580
Marmota vancouverensis,Marmota,Sciuridae,Rodentia,12.1,1216
Otospermophilus variegatus,Otospermophilus,Sciuridae,Rodentia,9.8,451
Poliocitellus franklinii,Poliocitellus,Sciuridae,Rodentia,7.2,355
Ratufa bicolor,Ratufa,Sciuridae,Rodentia,19,1110
Sciurus carolinensis,Sciurus,Sciuridae,Rodentia,23.6,387
Sciurus niger,Sciurus,Sciuridae,Rodentia,16,397
Sciurus vulgaris,Sciurus,Sciuridae,Rodentia,14.8,334
Spermophilus citellus,Spermophilus,Sciuridae,Rodentia,6.7,341
Tamias minimus,Tamias,Sciuridae,Rodentia,10,395
Tamias sibiricus,Tamias,Sciuridae,Rodentia,9.6,385
Tamias striatus,Tamias,Sciuridae,Rodentia,9.5,218
Tamias townsendii,Tamias,Sciuridae,Rodentia,9.3,381
Tamiasciurus hudsonicus,Tamiasciurus,Sciuridae,Rodentia,9.8,379
Xerospermophilus tereticaudus,Xerospermophilus,Sciuridae,Rodentia,8.9,353
Xerus erythropus,Xerus,Sciuridae,Rodentia,10.3,436
Xerus inauris,Xerus,Sciuridae,Rodentia,11.5,410
Thryonomys swinderianus,Thryonomys,Thryonomyidae,Rodentia,5.4,520
Tupaia belangeri,Tupaia,Tupaiidae,Scandentia,11.1,168
Tupaia glis,Tupaia,Tupaiidae,Scandentia,12.4,136
Tupaia minor,Tupaia,Tupaiidae,Scandentia,12.2,111
Dugong dugon,Dugong,Dugongidae,Sirenia,73,3844
Trichechus inunguis,Trichechus,Trichechidae,Sirenia,40,1424
Trichechus manatus,Trichechus,Trichechidae,Sirenia,69,1613
Solenodon paradoxus,Solenodon,Solenodontidae,Eulipotyphla,12.1,878
Blarina brevicauda,Blarina,Soricidae,Eulipotyphla,2.2,63
Blarina hylophaga,Blarina,Soricidae,Eulipotyphla,2.8,107
Crocidura leucodon,Crocidura,Soricidae,Eulipotyphla,2.9,125
Crocidura russula,Crocidura,Soricidae,Eulipotyphla,4,104
Crocidura suaveolens,Crocidura,Soricidae,Eulipotyphla,2.8,202
Cryptotis parvus,Cryptotis,Soricidae,Eulipotyphla,3.5,61
Neomys fodiens,Neomys,Soricidae,Eulipotyphla,3.1,126
Sorex araneus,Sorex,Soricidae,Eulipotyphla,3.2,219
Suncus etruscus,Suncus,Soricidae,Eulipotyphla,3.2,392
Suncus murinus,Suncus,Soricidae,Eulipotyphla,3.2,66
Condylura cristata,Condylura,Talpidae,Eulipotyphla,2.5,344
Scalopus aquaticus,Scalopus,Talpidae,Eulipotyphla,6.2,371
Orycteropus afer,Orycteropus,Orycteropodidae,Tubulidentata,29.8,955
Subulo gouazoubira,Subulo,Cervidae,Artiodactyla,14.8,607
Cervus albirostris,Cervus,Cervidae,Artiodactyla,21.3,983
Mustela eversmannii,Mustela,Mustelidae,Carnivora,9.1,355
Lagothrix lagotricha,Lagothrix,Atelidae,Primates,32,2778
