taxon_species,taxon_class,taxon_genus,taxon_family,taxon_order,Adult mass (g),Maximum longevity (years)
Dendrolagus inustus,Mammalia,Dendrolagus,Macropodidae,Diprotodontia,11400,23.8
Dendrolagus matschiei,Mammalia,Dendrolagus,Macropodidae,Diprotodontia,7200,26.9
Dendrolagus ursinus,Mammalia,Dendrolagus,Macropodidae,Diprotodontia,8000,20
Lagorchestes conspicillatus,Mammalia,Lagorchestes,Macropodidae,Diprotodontia,3000,8.8
Lagorchestes hirsutus,Mammalia,Lagorchestes,Macropodidae,Diprotodontia,1310,13.2
Notamacropus agilis,Mammalia,Notamacropus,Macropodidae,Diprotodontia,16000,16.9
Osphranter antilopinus,Mammalia,Osphranter,Macropodidae,Diprotodontia,49500,19.8
Osphranter bernardus,Mammalia,Osphranter,Macropodidae,Diprotodontia,17500,11.8
Notamacropus eugenii,Mammalia,Notamacropus,Macropodidae,Diprotodontia,6500,15.1
Macropus fuliginosus,Mammalia,Macropus,Macropodidae,Diprotodontia,28250,23.2
Macropus giganteus,Mammalia,Macropus,Macropodidae,Diprotodontia,49500,25
Notamacropus parma,Mammalia,Notamacropus,Macropodidae,Diprotodontia,4250,15.9
Osphranter robustus,Mammalia,Osphranter,Macropodidae,Diprotodontia,30000,22
Notamacropus rufogriseus,Mammalia,Notamacropus,Macropodidae,Diprotodontia,16200,15.2
Osphranter rufus,Mammalia,Osphranter,Macropodidae,Diprotodontia,55000,25
Onychogalea fraenata,Mammalia,Onychogalea,Macropodidae,Diprotodontia,5500,7.4
Onychogalea unguifera,Mammalia,Onychogalea,Macropodidae,Diprotodontia,5800,5.5
Petrogale brachyotis,Mammalia,Petrogale,Macropodidae,Diprotodontia,3700,10.1
Petrogale concinna,Mammalia,Petrogale,Macropodidae,Diprotodontia,1250,11.7
Petrogale penicillata,Mammalia,Petrogale,Macropodidae,Diprotodontia,6000,14.3
Petrogale xanthopus,Mammalia,Petrogale,Macropodidae,Diprotodontia,6000,14.4
Setonix brachyurus,Mammalia,Setonix,Macropodidae,Diprotodontia,3500,13.8
Thylogale billardierii,Mammalia,Thylogale,Macropodidae,Diprotodontia,5000,8.8
Thylogale brunii,Mammalia,Thylogale,Macropodidae,Diprotodontia,4796,9.4
Thylogale stigmatica,Mammalia,Thylogale,Macropodidae,Diprotodontia,4100,9.7
Thylogale thetis,Mammalia,Thylogale,Macropodidae,Diprotodontia,3800,9
Wallabia bicolor,Mammalia,Wallabia,Macropodidae,Diprotodontia,14625,16.8
Dactylopsila trivirgata,Mammalia,Dactylopsila,Petauridae,Diprotodontia,318,9.6
Gymnobelideus leadbeateri,Mammalia,Gymnobelideus,Petauridae,Diprotodontia,127,14.1
Petaurus australis,Mammalia,Petaurus,Petauridae,Diprotodontia,572.5,15
Petaurus breviceps,Mammalia,Petaurus,Petauridae,Diprotodontia,110,17.8
Petaurus norfolcensis,Mammalia,Petaurus,Petauridae,Diprotodontia,405,14.8
Phalanger gymnotis,Mammalia,Phalanger,Phalangeridae,Diprotodontia,2400,18.9
Spilocuscus maculatus,Mammalia,Spilocuscus,Phalangeridae,Diprotodontia,3500,17
Trichosurus vulpecula,Mammalia,Trichosurus,Phalangeridae,Diprotodontia,2395,15.9
Phascolarctos cinereus,Mammalia,Phascolarctos,Phascolarctidae,Diprotodontia,9300,22.1
Aepyprymnus rufescens,Mammalia,Aepyprymnus,Potoroidae,Diprotodontia,3250,12.8
Bettongia penicillata,Mammalia,Bettongia,Potoroidae,Diprotodontia,1500,18.8
Potorous longipes,Mammalia,Potorous,Potoroidae,Diprotodontia,1650,15.3
Potorous tridactylus,Mammalia,Potorous,Potoroidae,Diprotodontia,1430,14.5
Hemibelideus lemuroides,Mammalia,Hemibelideus,Pseudocheiridae,Diprotodontia,1040,5.4
Pseudocheirus peregrinus,Mammalia,Pseudocheirus,Pseudocheiridae,Diprotodontia,850,10.1
Lasiorhinus krefftii,Mammalia,Lasiorhinus,Vombatidae,Diprotodontia,31000,30
Lasiorhinus latifrons,Mammalia,Lasiorhinus,Vombatidae,Diprotodontia,25500,29.9
Vombatus ursinus,Mammalia,Vombatus,Vombatidae,Diprotodontia,25500,30
Atelerix albiventris,Mammalia,Atelerix,Erinaceidae,Eulipotyphla,500,11.4
Erinaceus amurensis,Mammalia,Erinaceus,Erinaceidae,Eulipotyphla,774.475,8
Erinaceus concolor,Mammalia,Erinaceus,Erinaceidae,Eulipotyphla,719,7
Erinaceus europaeus,Mammalia,Erinaceus,Erinaceidae,Eulipotyphla,750,11.7
Hemiechinus auritus,Mammalia,Hemiechinus,Erinaceidae,Eulipotyphla,342,7.6
Paraechinus aethiopicus,Mammalia,Paraechinus,Erinaceidae,Eulipotyphla,188,6.3
Paraechinus hypomelas,Mammalia,Paraechinus,Erinaceidae,Eulipotyphla,292,7
Dendrohyrax arboreus,Mammalia,Dendrohyrax,Procaviidae,Hyracoidea,3000,13.6
Procavia capensis,Mammalia,Procavia,Procaviidae,Hyracoidea,3600,14.8
Lepus brachyurus,Mammalia,Lepus,Leporidae,Lagomorpha,2519,13
Lepus californicus,Mammalia,Lepus,Leporidae,Lagomorpha,4175,11.8
Lepus europaeus,Mammalia,Lepus,Leporidae,Lagomorpha,4175,10.7
Lepus timidus,Mammalia,Lepus,Leporidae,Lagomorpha,4175,18
Oryctolagus cuniculus,Mammalia,Oryctolagus,Leporidae,Lagomorpha,1800,13
Sylvilagus audubonii,Mammalia,Sylvilagus,Leporidae,Lagomorpha,900,7.8
Sylvilagus floridanus,Mammalia,Sylvilagus,Leporidae,Lagomorpha,1150,9.8
Sylvilagus nuttallii,Mammalia,Sylvilagus,Leporidae,Lagomorpha,760,7.4
Sylvilagus palustris,Mammalia,Sylvilagus,Leporidae,Lagomorpha,1233,7.6
Sylvilagus transitionalis,Mammalia,Sylvilagus,Leporidae,Lagomorpha,902.6,9.3
Ochotona hyperborea,Mammalia,Ochotona,Ochotonidae,Lagomorpha,120,9.4
Ochotona princeps,Mammalia,Ochotona,Ochotonidae,Lagomorpha,100,7
Elephantulus intufi,Mammalia,Elephantulus,Macroscelididae,Macroscelidea,52,9.3
Petrosaltator rozeti,Mammalia,Petrosaltator,Macroscelididae,Macroscelidea,48,7.2
Galegeeska rufescens,Mammalia,Galegeeska,Macroscelididae,Macroscelidea,58,7.9
Macroscelides proboscideus,Mammalia,Macroscelides,Macroscelididae,Macroscelidea,40,8.7
Rhynchocyon chrysopygus,Mammalia,Rhynchocyon,Macroscelididae,Macroscelidea,540,11
Ornithorhynchus anatinus,Mammalia,Ornithorhynchus,Ornithorhynchidae,Monotremata,1250,22.6
Tachyglossus aculeatus,Mammalia,Tachyglossus,Tachyglossidae,Monotremata,3500,49.5
Zaglossus bruijni,Mammalia,Zaglossus,Tachyglossidae,Monotremata,7500,41.2
Echymipera rufescens,Mammalia,Echymipera,Peroryctidae,Peramelemorphia,1250,3.1
Isoodon auratus,Mammalia,Isoodon,Peramelidae,Peramelemorphia,485,6.7
Isoodon macrourus,Mammalia,Isoodon,Peramelidae,Peramelemorphia,1600,6.8
Isoodon obesulus,Mammalia,Isoodon,Peramelidae,Peramelemorphia,700,6.5
Perameles bougainville,Mammalia,Perameles,Peramelidae,Peramelemorphia,226,5.8
Perameles gunnii,Mammalia,Perameles,Peramelidae,Peramelemorphia,766,6.1
Perameles nasuta,Mammalia,Perameles,Peramelidae,Peramelemorphia,859,5.6
Peroryctes raffrayana,Mammalia,Peroryctes,Peroryctidae,Peramelemorphia,675,3.2
Macrotis lagotis,Mammalia,Macrotis,Peramelidae,Peramelemorphia,1300,9.6
Equus asinus,Mammalia,Equus,Equidae,Perissodactyla,164998,47
Equus caballus,Mammalia,Equus,Equidae,Perissodactyla,300000,57
Equus grevyi,Mammalia,Equus,Equidae,Perissodactyla,384000,31
Equus hemionus,Mammalia,Equus,Equidae,Perissodactyla,230000,31.6
Equus kiang,Mammalia,Equus,Equidae,Perissodactyla,275000,30.1
Equus quagga,Mammalia,Equus,Equidae,Perissodactyla,280000,38
Equus zebra,Mammalia,Equus,Equidae,Perissodactyla,296000,33.2
Ceratotherium simum,Mammalia,Ceratotherium,Rhinocerotidae,Perissodactyla,2175000,45
Dicerorhinus sumatrensis,Mammalia,Dicerorhinus,Rhinocerotidae,Perissodactyla,1260000,32.8
Diceros bicornis,Mammalia,Diceros,Rhinocerotidae,Perissodactyla,1100000,57
Rhinoceros unicornis,Mammalia,Rhinoceros,Rhinocerotidae,Perissodactyla,1602330,43.5
Tapirus pinchaque,Mammalia,Tapirus,Tapiridae,Perissodactyla,148950,28.5
Tapirus terrestris,Mammalia,Tapirus,Tapiridae,Perissodactyla,250000,39.6
Choloepus didactylus,Mammalia,Choloepus,Megalonychidae,Pilosa,6250,36.8
Choloepus hoffmanni,Mammalia,Choloepus,Megalonychidae,Pilosa,6250,41
Myrmecophaga tridactyla,Mammalia,Myrmecophaga,Myrmecophagidae,Pilosa,28500,31
Tamandua mexicana,Mammalia,Tamandua,Myrmecophagidae,Pilosa,4500,16
Tamandua tetradactyla,Mammalia,Tamandua,Myrmecophagidae,Pilosa,4500,19
Aotus azarai,Mammalia,Aotus,Aotidae,Primates,1230,30
Aotus lemurinus,Mammalia,Aotus,Aotidae,Primates,874,33.8
Aotus trivirgatus,Mammalia,Aotus,Aotidae,Primates,800,30.1
Aotus vociferans,Mammalia,Aotus,Aotidae,Primates,873,22.1
Alouatta caraya,Mammalia,Alouatta,Atelidae,Primates,5462.5,32.4
Alouatta palliata,Mammalia,Alouatta,Atelidae,Primates,7000,24
Alouatta seniculus,Mammalia,Alouatta,Atelidae,Primates,6543.2,25
Ateles belzebuth,Mammalia,Ateles,Atelidae,Primates,7535,37
Ateles chamek,Mammalia,Ateles,Atelidae,Primates,6000,42.8
Ateles fusciceps,Mammalia,Ateles,Atelidae,Primates,7000,46
Ateles geoffroyi,Mammalia,Ateles,Atelidae,Primates,7267.5,47.1
Ateles marginatus,Mammalia,Ateles,Atelidae,Primates,6000,44
Ateles paniscus,Mammalia,Ateles,Atelidae,Primates,7887.5,46
Brachyteles arachnoides,Mammalia,Brachyteles,Atelidae,Primates,11170,40
Callimico goeldii,Mammalia,Callimico,Cebidae,Primates,555,22.2
Callithrix geoffroyi,Mammalia,Callithrix,Cebidae,Primates,342,17.6
Callithrix jacchus,Mammalia,Callithrix,Cebidae,Primates,255.2,22.8
Callithrix kuhlii,Mammalia,Callithrix,Cebidae,Primates,342,20
Callithrix penicillata,Mammalia,Callithrix,Cebidae,Primates,307,15.4
Cebuella pygmaea,Mammalia,Cebuella,Cebidae,Primates,124,18.6
Leontocebus fuscicollis,Mammalia,Leontocebus,Cebidae,Primates,456.5,24.9
Leontocebus nigricollis,Mammalia,Leontocebus,Cebidae,Primates,519.2,20.2
Leontopithecus chrysomelas,Mammalia,Leontopithecus,Cebidae,Primates,535,21.3
Leontopithecus chrysopygus,Mammalia,Leontopithecus,Cebidae,Primates,570,17.9
Leontopithecus rosalia,Mammalia,Leontopithecus,Cebidae,Primates,654.5,31.6
Mico argentatus,Mammalia,Mico,Cebidae,Primates,343.2,16.5
Mico humeralifer,Mammalia,Mico,Cebidae,Primates,355.8,15
Saguinus bicolor,Mammalia,Saguinus,Cebidae,Primates,495.8,19
Saguinus geoffroyi,Mammalia,Saguinus,Cebidae,Primates,499.3,20.5
Saguinus imperator,Mammalia,Saguinus,Cebidae,Primates,518.5,23.7
Saguinus labiatus,Mammalia,Saguinus,Cebidae,Primates,501.3,20.5
Saguinus leucopus,Mammalia,Saguinus,Cebidae,Primates,490,15.2
Saguinus midas,Mammalia,Saguinus,Cebidae,Primates,553.8,21
Saguinus mystax,Mammalia,Saguinus,Cebidae,Primates,543.5,20
Saguinus oedipus,Mammalia,Saguinus,Cebidae,Primates,445.5,26.2
Cebus albifrons,Mammalia,Cebus,Cebidae,Primates,2467.5,40.4
Cebus capucinus,Mammalia,Cebus,Cebidae,Primates,2655,54
Cebus olivaceus,Mammalia,Cebus,Cebidae,Primates,2552.5,47
Saimiri boliviensis,Mammalia,Saimiri,Cebidae,Primates,615,30.3
Saimiri sciureus,Mammalia,Saimiri,Cebidae,Primates,925,30.2
Sapajus apella,Mammalia,Sapajus,Cebidae,Primates,2642.5,46
Allenopithecus nigroviridis,Mammalia,Allenopithecus,Cercopithecidae,Primates,4702.5,27
Allochrocebus lhoesti,Mammalia,Allochrocebus,Cercopithecidae,Primates,4700,24.1
Allochrocebus preussi,Mammalia,Allochrocebus,Cercopithecidae,Primates,5250,26
Cercocebus agilis,Mammalia,Cercocebus,Cercopithecidae,Primates,8000,31
Cercocebus torquatus,Mammalia,Cercocebus,Cercopithecidae,Primates,9492.5,46
Cercopithecus ascanius,Mammalia,Cercopithecus,Cercopithecidae,Primates,3705,31.2
Cercopithecus campbelli,Mammalia,Cercopithecus,Cercopithecidae,Primates,3600,30
Cercopithecus cephus,Mammalia,Cercopithecus,Cercopithecidae,Primates,3585,36
Cercopithecus diana,Mammalia,Cercopithecus,Cercopithecidae,Primates,4550,35.1
Cercopithecus erythrogaster,Mammalia,Cercopithecus,Cercopithecidae,Primates,3250,24
Cercopithecus hamlyni,Mammalia,Cercopithecus,Cercopithecidae,Primates,4425,28.6
Cercopithecus mitis,Mammalia,Cercopithecus,Cercopithecidae,Primates,9000,37.8
Cercopithecus mona,Mammalia,Cercopithecus,Cercopithecidae,Primates,4500,30
Cercopithecus neglectus,Mammalia,Cercopithecus,Cercopithecidae,Primates,5945,30.8
Cercopithecus nictitans,Mammalia,Cercopithecus,Cercopithecidae,Primates,5465,31
Cercopithecus petaurista,Mammalia,Cercopithecus,Cercopithecidae,Primates,3650,29
Cercopithecus pogonias,Mammalia,Cercopithecus,Cercopithecidae,Primates,3580,27
Cercopithecus wolfi,Mammalia,Cercopithecus,Cercopithecidae,Primates,3390,24
Chlorocebus aethiops,Mammalia,Chlorocebus,Cercopithecidae,Primates,5620,32
Colobus angolensis,Mammalia,Colobus,Cercopithecidae,Primates,8625,35.3
Colobus guereza,Mammalia,Colobus,Cercopithecidae,Primates,9950,35
Colobus polykomos,Mammalia,Colobus,Cercopithecidae,Primates,9525,33.9
Erythrocebus patas,Mammalia,Erythrocebus,Cercopithecidae,Primates,7750,30
Lophocebus albigena,Mammalia,Lophocebus,Cercopithecidae,Primates,9317.5,36
Macaca arctoides,Mammalia,Macaca,Cercopithecidae,Primates,9275,29.2
Macaca assamensis,Mammalia,Macaca,Cercopithecidae,Primates,9100,31.4
Macaca fascicularis,Mammalia,Macaca,Cercopithecidae,Primates,6362.5,39
Macaca fuscata,Mammalia,Macaca,Cercopithecidae,Primates,8882.5,38.5
Macaca maura,Mammalia,Macaca,Cercopithecidae,Primates,5575,33
Macaca mulatta,Mammalia,Macaca,Cercopithecidae,Primates,8235,40
Macaca nemestrina,Mammalia,Macaca,Cercopithecidae,Primates,7912.5,37.6
Macaca nigra,Mammalia,Macaca,Cercopithecidae,Primates,7965,34
Macaca ochreata,Mammalia,Macaca,Cercopithecidae,Primates,3950,29
Macaca radiata,Mammalia,Macaca,Cercopithecidae,Primates,6755,30
Macaca silenus,Mammalia,Macaca,Cercopithecidae,Primates,7875,40
Macaca sinica,Mammalia,Macaca,Cercopithecidae,Primates,4370,29.3
Macaca sylvanus,Mammalia,Macaca,Cercopithecidae,Primates,10875,30
Macaca thibetana,Mammalia,Macaca,Cercopithecidae,Primates,10300,27
Macaca tonkeana,Mammalia,Macaca,Cercopithecidae,Primates,11950,28.4
Mandrillus leucophaeus,Mammalia,Mandrillus,Cercopithecidae,Primates,18250,39
Mandrillus sphinx,Mammalia,Mandrillus,Cercopithecidae,Primates,23000,40
Miopithecus talapoin,Mammalia,Miopithecus,Cercopithecidae,Primates,1384.5,27.7
Nasalis larvatus,Mammalia,Nasalis,Cercopithecidae,Primates,14617.5,25.1
Papio hamadryas,Mammalia,Papio,Cercopithecidae,Primates,18000,37.5
Presbytis melalophos,Mammalia,Presbytis,Cercopithecidae,Primates,6540,20
Pygathrix nemaeus,Mammalia,Pygathrix,Cercopithecidae,Primates,9720,26
Rhinopithecus roxellana,Mammalia,Rhinopithecus,Cercopithecidae,Primates,14750,29.5
Semnopithecus entellus,Mammalia,Semnopithecus,Cercopithecidae,Primates,13516.5,29
Trachypithecus johnii,Mammalia,Trachypithecus,Cercopithecidae,Primates,12000,34
Trachypithecus vetulus,Mammalia,Trachypithecus,Cercopithecidae,Primates,7081.8,26.1
Theropithecus gelada,Mammalia,Theropithecus,Cercopithecidae,Primates,16200,36
Trachypithecus auratus,Mammalia,Trachypithecus,Cercopithecidae,Primates,9720,31.1
Trachypithecus cristatus,Mammalia,Trachypithecus,Cercopithecidae,Primates,6185,28.3
Trachypithecus francoisi,Mammalia,Trachypithecus,Cercopithecidae,Primates,7325,26.3
Trachypithecus obscurus,Mammalia,Trachypithecus,Cercopithecidae,Primates,7080,33.9
Trachypithecus phayrei,Mammalia,Trachypithecus,Cercopithecidae,Primates,8400,28.3
Trachypithecus pileatus,Mammalia,Trachypithecus,Cercopithecidae,Primates,11450,25.2
Cheirogaleus major,Mammalia,Cheirogaleus,Cheirogaleidae,Primates,395,13.4
Cheirogaleus medius,Mammalia,Cheirogaleus,Cheirogaleidae,Primates,380,29
Microcebus murinus,Mammalia,Microcebus,Cheirogaleidae,Primates,64.8,18.2
Mirza coquereli,Mammalia,Mirza,Cheirogaleidae,Primates,311.2,17.4
Phaner furcifer,Mammalia,Phaner,Cheirogaleidae,Primates,400,25
Daubentonia madagascariensis,Mammalia,Daubentonia,Daubentoniidae,Primates,2277.5,32.3
Galago moholi,Mammalia,Galago,Galagidae,Primates,169.2,16.6
Galago senegalensis,Mammalia,Galago,Galagidae,Primates,192.2,17.1
Galagoides demidoff,Mammalia,Galagoides,Galagidae,Primates,60,13.4
Otolemur crassicaudatus,Mammalia,Otolemur,Galagidae,Primates,1094.5,22.7
Otolemur garnettii,Mammalia,Otolemur,Galagidae,Primates,1300,20
Gorilla gorilla,Mammalia,Gorilla,Hominidae,Primates,139842,60.1
Homo sapiens,Mammalia,Homo,Hominidae,Primates,62035,122.5
Pan paniscus,Mammalia,Pan,Hominidae,Primates,39925,55
Pan troglodytes,Mammalia,Pan,Hominidae,Primates,44983.5,68
Pongo pygmaeus,Mammalia,Pongo,Hominidae,Primates,64475,59
Hoolock hoolock,Mammalia,Hoolock,Hylobatidae,Primates,6875,41
Hylobates agilis,Mammalia,Hylobates,Hylobatidae,Primates,5925,49
Hylobates klossii,Mammalia,Hylobates,Hylobatidae,Primates,5900,37
Hylobates lar,Mammalia,Hylobates,Hylobatidae,Primates,6810,56
Hylobates moloch,Mammalia,Hylobates,Hylobatidae,Primates,6207.5,45
Hylobates muelleri,Mammalia,Hylobates,Hylobatidae,Primates,5765,60
Hylobates pileatus,Mammalia,Hylobates,Hylobatidae,Primates,5735,38
Nomascus concolor,Mammalia,Nomascus,Hylobatidae,Primates,6852.5,46.1
Nomascus leucogenys,Mammalia,Nomascus,Hylobatidae,Primates,6000,44.1
Symphalangus syndactylus,Mammalia,Symphalangus,Hylobatidae,Primates,10900,43
Propithecus diadema,Mammalia,Propithecus,Indriidae,Primates,5550,21
Propithecus tattersalli,Mammalia,Propithecus,Indriidae,Primates,3545,20
Propithecus verreauxi,Mammalia,Propithecus,Indriidae,Primates,5000,31
Eulemur coronatus,Mammalia,Eulemur,Lemuridae,Primates,1645,27
Eulemur fulvus,Mammalia,Eulemur,Lemuridae,Primates,2485,35.5
Eulemur macaco,Mammalia,Eulemur,Lemuridae,Primates,2467,37.5
Eulemur mongoz,Mammalia,Eulemur,Lemuridae,Primates,1555,36.2
Eulemur rubriventer,Mammalia,Eulemur,Lemuridae,Primates,2191.5,31.7
Hapalemur griseus,Mammalia,Hapalemur,Lemuridae,Primates,1012.5,23.3
Lemur catta,Mammalia,Lemur,Lemuridae,Primates,2555,37.3
Prolemur simus,Mammalia,Prolemur,Lemuridae,Primates,1737.5,17.6
Varecia rubra,Mammalia,Varecia,Lemuridae,Primates,3601.3,37.5
Varecia variegata,Mammalia,Varecia,Lemuridae,Primates,3482.3,40
Arctocebus calabarensis,Mammalia,Arctocebus,Lorisidae,Primates,257.5,13
Loris tardigradus,Mammalia,Loris,Lorisidae,Primates,238.2,21.6
Nycticebus coucang,Mammalia,Nycticebus,Lorisidae,Primates,890.5,25.8
Xanthonycticebus pygmaeus,Mammalia,Xanthonycticebus,Lorisidae,Primates,419,19.3
Perodicticus potto,Mammalia,Perodicticus,Lorisidae,Primates,919.9,32.4
Cacajao calvus,Mammalia,Cacajao,Pitheciidae,Primates,3165,35.8
Chiropotes albinasus,Mammalia,Chiropotes,Pitheciidae,Primates,2910,20
Chiropotes satanas,Mammalia,Chiropotes,Pitheciidae,Primates,2942.5,19.6
Pithecia monachus,Mammalia,Pithecia,Pitheciidae,Primates,1780,25
Pithecia pithecia,Mammalia,Pithecia,Pitheciidae,Primates,1480,36
Plecturocebus cupreus,Mammalia,Plecturocebus,Pitheciidae,Primates,1120,26.4
Plecturocebus donacophilus,Mammalia,Plecturocebus,Pitheciidae,Primates,795,25
Plecturocebus moloch,Mammalia,Plecturocebus,Pitheciidae,Primates,804,26.2
Carlito syrichta,Mammalia,Carlito,Tarsiidae,Primates,119.2,16
Cephalopachus bancanus,Mammalia,Cephalopachus,Tarsiidae,Primates,122.5,16.3
Elephas maximus,Mammalia,Elephas,Elephantidae,Proboscidea,3178000,79.6
Loxodonta africana,Mammalia,Loxodonta,Elephantidae,Proboscidea,4800000,65
Abrocoma bennettii,Mammalia,Abrocoma,Abrocomidae,Rodentia,265.5,2.3
Fukomys anselli,Mammalia,Fukomys,Bathyergidae,Rodentia,90,20.6
Fukomys damarensis,Mammalia,Fukomys,Bathyergidae,Rodentia,180,15.5
Cryptomys hottentotus,Mammalia,Cryptomys,Bathyergidae,Rodentia,132.5,11
Fukomys mechowii,Mammalia,Fukomys,Bathyergidae,Rodentia,250,20
Georychus capensis,Mammalia,Georychus,Bathyergidae,Rodentia,181,11.2
Heterocephalus glaber,Mammalia,Heterocephalus,Bathyergidae,Rodentia,35,31
Calomyscus bailwardi,Mammalia,Calomyscus,Calomyscidae,Rodentia,20.4,9.4
Capromys pilorides,Mammalia,Capromys,Capromyidae,Rodentia,4683.3,13.8
Geocapromys brownii,Mammalia,Geocapromys,Capromyidae,Rodentia,1500,13.5
Plagiodontia aedium,Mammalia,Plagiodontia,Capromyidae,Rodentia,1267,15.9
Castor canadensis,Mammalia,Castor,Castoridae,Rodentia,20250,23.4
Cavia aperea,Mammalia,Cavia,Caviidae,Rodentia,341,6
Cavia porcellus,Mammalia,Cavia,Caviidae,Rodentia,728,12
Cavia tschudii,Mammalia,Cavia,Caviidae,Rodentia,637.5,6.3
Dolichotis patagonum,Mammalia,Dolichotis,Caviidae,Rodentia,12500,14.4
Galea musteloides,Mammalia,Galea,Caviidae,Rodentia,337.9,3.5
Galea spixii,Mammalia,Galea,Caviidae,Rodentia,450,4.6
Hydrochoerus hydrochaeris,Mammalia,Hydrochoerus,Hydrochaeridae,Rodentia,55000,15.1
Kerodon rupestris,Mammalia,Kerodon,Caviidae,Rodentia,950,12.9
Chinchilla lanigera,Mammalia,Chinchilla,Chinchillidae,Rodentia,642.5,17.2
Lagidium viscacia,Mammalia,Lagidium,Chinchillidae,Rodentia,1540,19.5
Lagostomus maximus,Mammalia,Lagostomus,Chinchillidae,Rodentia,6000,10.8
Alticola semicanus,Mammalia,Alticola,Cricetidae,Rodentia,36,3.8
Arvicola amphibius,Mammalia,Arvicola,Cricetidae,Rodentia,120,2.5
Baiomys taylori,Mammalia,Baiomys,Cricetidae,Rodentia,8,3.3
Cricetus cricetus,Mammalia,Cricetus,Cricetidae,Rodentia,506.7,3.6
Dicrostonyx groenlandicus,Mammalia,Dicrostonyx,Cricetidae,Rodentia,66,3.3
Ellobius talpinus,Mammalia,Ellobius,Cricetidae,Rodentia,40,6.4
Lagurus lagurus,Mammalia,Lagurus,Cricetidae,Rodentia,20.3,3.8
Lasiopodomys brandtii,Mammalia,Lasiopodomys,Cricetidae,Rodentia,40,4.1
Lemmus lemmus,Mammalia,Lemmus,Cricetidae,Rodentia,70,3.3
Lophiomys imhausi,Mammalia,Lophiomys,Muridae,Rodentia,755,7.5
Mesocricetus auratus,Mammalia,Mesocricetus,Cricetidae,Rodentia,105,3.9
Mesocricetus brandti,Mammalia,Mesocricetus,Cricetidae,Rodentia,174,4.4
Microtus agrestis,Mammalia,Microtus,Cricetidae,Rodentia,46,4.8
Microtus arvalis,Mammalia,Microtus,Cricetidae,Rodentia,27.5,4.8
Microtus guentheri,Mammalia,Microtus,Cricetidae,Rodentia,51.6,3.9
Microtus ochrogaster,Mammalia,Microtus,Cricetidae,Rodentia,40,5.3
Microtus pinetorum,Mammalia,Microtus,Cricetidae,Rodentia,25.5,3.8
Myodes glareolus,Mammalia,Myodes,Cricetidae,Rodentia,20.8,4.9
Myodes rutilus,Mammalia,Myodes,Cricetidae,Rodentia,20,2.1
Neotoma albigula,Mammalia,Neotoma,Cricetidae,Rodentia,209,9.5
Neotoma floridana,Mammalia,Neotoma,Cricetidae,Rodentia,291,8.6
Neotoma lepida,Mammalia,Neotoma,Cricetidae,Rodentia,236,10.5
Nyctomys sumichrasti,Mammalia,Nyctomys,Cricetidae,Rodentia,50,5.7
Ochrotomys nuttalli,Mammalia,Ochrotomys,Cricetidae,Rodentia,22,8.4
Onychomys leucogaster,Mammalia,Onychomys,Cricetidae,Rodentia,32.5,5.6
Onychomys torridus,Mammalia,Onychomys,Cricetidae,Rodentia,22,4.6
Peromyscus californicus,Mammalia,Peromyscus,Cricetidae,Rodentia,42,5.5
Peromyscus crinitus,Mammalia,Peromyscus,Cricetidae,Rodentia,16.5,7.7
Peromyscus eremicus,Mammalia,Peromyscus,Cricetidae,Rodentia,25,7.4
Peromyscus guatemalensis,Mammalia,Peromyscus,Cricetidae,Rodentia,40,5.7
Peromyscus leucopus,Mammalia,Peromyscus,Cricetidae,Rodentia,23,7.9
Peromyscus maniculatus,Mammalia,Peromyscus,Cricetidae,Rodentia,20.5,8.3
Peromyscus polionotus,Mammalia,Peromyscus,Cricetidae,Rodentia,14,5.5
Peromyscus truei,Mammalia,Peromyscus,Cricetidae,Rodentia,25,5.4
Phodopus sungorus,Mammalia,Phodopus,Cricetidae,Rodentia,23.4,3.9
Podomys floridanus,Mammalia,Podomys,Cricetidae,Rodentia,32,7.4
Reithrodon auritus,Mammalia,Reithrodon,Cricetidae,Rodentia,72.2,5.5
Sigmodon hispidus,Mammalia,Sigmodon,Cricetidae,Rodentia,185,5.2
Tylomys nudicaudus,Mammalia,Tylomys,Cricetidae,Rodentia,280,5.4
Ctenodactylus gundi,Mammalia,Ctenodactylus,Ctenodactylidae,Rodentia,288.8,5.8
Cuniculus paca,Mammalia,Cuniculus,Cuniculidae,Rodentia,9000,16.3
Cuniculus taczanowskii,Mammalia,Cuniculus,Cuniculidae,Rodentia,8999.9,18.9
Dasyprocta azarae,Mammalia,Dasyprocta,Dasyproctidae,Rodentia,2650,11.8
Dasyprocta fuliginosa,Mammalia,Dasyprocta,Dasyproctidae,Rodentia,3500,18
Dasyprocta leporina,Mammalia,Dasyprocta,Dasyproctidae,Rodentia,3265,17.8
Dasyprocta punctata,Mammalia,Dasyprocta,Dasyproctidae,Rodentia,2150,13.8
Myoprocta acouchy,Mammalia,Myoprocta,Dasyproctidae,Rodentia,775,14.8
Dinomys branickii,Mammalia,Dinomys,Dinomyidae,Rodentia,12250,12.8
Scarturus euphraticus,Mammalia,Scarturus,Dipodidae,Rodentia,232,4.2
Allactaga major,Mammalia,Allactaga,Dipodidae,Rodentia,350,7
Orientallactaga sibirica,Mammalia,Orientallactaga,Dipodidae,Rodentia,117.5,4.5
