taxon_species,taxon_class,taxon_genus,taxon_family,taxon_order,Adult mass (g),gestation length (days),maturity length (days),generation time (days)
Onychogalea fraenata,Mammalia,Onychogalea,Macropodidae,Diprotodontia,5500,23,185,208
Petrogale assimilis,Mammalia,Petrogale,Macropodidae,Diprotodontia,4300,31,525,556
Petrogale brachyotis,Mammalia,Petrogale,Macropodidae,Diprotodontia,3700,30,540,570
Petrogale concinna,Mammalia,Petrogale,Macropodidae,Diprotodontia,1250,30,430,460
Petrogale lateralis,Mammalia,Petrogale,Macropodidae,Diprotodontia,4200,30,540,570
Petrogale penicillata,Mammalia,Petrogale,Macropodidae,Diprotodontia,6000,30,540,570
Petrogale xanthopus,Mammalia,Petrogale,Macropodidae,Diprotodontia,6000,31,541,572
Setonix brachyurus,Mammalia,Setonix,Macropodidae,Diprotodontia,3500,26,252,278
Thylogale billardierii,Mammalia,Thylogale,Macropodidae,Diprotodontia,5000,29,435,464
Thylogale brunii,Mammalia,Thylogale,Macropodidae,Diprotodontia,4796,30,344,374
Thylogale stigmatica,Mammalia,Thylogale,Macropodidae,Diprotodontia,4100,29,338,367
Wallabia bicolor,Mammalia,Wallabia,Macropodidae,Diprotodontia,14625,36,426,462
Gymnobelideus leadbeateri,Mammalia,Gymnobelideus,Petauridae,Diprotodontia,127,16,475,491
Petaurus breviceps,Mammalia,Petaurus,Petauridae,Diprotodontia,110,16,236,252
Spilocuscus maculatus,Mammalia,Spilocuscus,Phalangeridae,Diprotodontia,3500,13,222,235
Trichosurus arnhemensis,Mammalia,Trichosurus,Phalangeridae,Diprotodontia,1300,17,365,382
Trichosurus caninus,Mammalia,Trichosurus,Phalangeridae,Diprotodontia,3150,16,900,916
Trichosurus vulpecula,Mammalia,Trichosurus,Phalangeridae,Diprotodontia,2395,17,315,332
Phascolarctos cinereus,Mammalia,Phascolarctos,Phascolarctidae,Diprotodontia,9300,31,646,677
Aepyprymnus rufescens,Mammalia,Aepyprymnus,Potoroidae,Diprotodontia,3250,23,333,356
Bettongia gaimardi,Mammalia,Bettongia,Potoroidae,Diprotodontia,1725,20,252,272
Bettongia lesueur,Mammalia,Bettongia,Potoroidae,Diprotodontia,1300,21,218,239
Bettongia penicillata,Mammalia,Bettongia,Potoroidae,Diprotodontia,1500,18,180,198
Bettongia tropica,Mammalia,Bettongia,Potoroidae,Diprotodontia,1200,20,301,321
Potorous longipes,Mammalia,Potorous,Potoroidae,Diprotodontia,1650,38,755,793
Potorous tridactylus,Mammalia,Potorous,Potoroidae,Diprotodontia,1430,30,400,430
Tarsipes rostratus,Mammalia,Tarsipes,Tarsipedidae,Diprotodontia,9,42,167,209
Lasiorhinus krefftii,Mammalia,Lasiorhinus,Vombatidae,Diprotodontia,31000,21,589,610
Lasiorhinus latifrons,Mammalia,Lasiorhinus,Vombatidae,Diprotodontia,25500,21,547,568
Vombatus ursinus,Mammalia,Vombatus,Vombatidae,Diprotodontia,25500,27,730,757
Atelerix albiventris,Mammalia,Atelerix,Erinaceidae,Eulipotyphla,500,35,84,119
Atelerix frontalis,Mammalia,Atelerix,Erinaceidae,Eulipotyphla,309,37,365,402
Erinaceus amurensis,Mammalia,Erinaceus,Erinaceidae,Eulipotyphla,774.475,36,266,302
Erinaceus concolor,Mammalia,Erinaceus,Erinaceidae,Eulipotyphla,719,35,213,248
Erinaceus europaeus,Mammalia,Erinaceus,Erinaceidae,Eulipotyphla,750,30,253,283
Hemiechinus auritus,Mammalia,Hemiechinus,Erinaceidae,Eulipotyphla,342,39,213,252
Dendrohyrax arboreus,Mammalia,Dendrohyrax,Procaviidae,Hyracoidea,3000,229,365,594
Heterohyrax brucei,Mammalia,Heterohyrax,Procaviidae,Hyracoidea,2456.7,229,494,723
Procavia capensis,Mammalia,Procavia,Procaviidae,Hyracoidea,3600,215,500,715
Brachylagus idahoensis,Mammalia,Brachylagus,Leporidae,Lagomorpha,421.3,27,256,283
Lepus americanus,Mammalia,Lepus,Leporidae,Lagomorpha,1600,36,308,344
Lepus californicus,Mammalia,Lepus,Leporidae,Lagomorpha,4175,44,243,287
Lepus capensis,Mammalia,Lepus,Leporidae,Lagomorpha,2358,43,228,271
Lepus europaeus,Mammalia,Lepus,Leporidae,Lagomorpha,4175,42,236,278
Lepus timidus,Mammalia,Lepus,Leporidae,Lagomorpha,4175,50,266,316
Lepus townsendii,Mammalia,Lepus,Leporidae,Lagomorpha,3035.5,39,333,372
Oryctolagus cuniculus,Mammalia,Oryctolagus,Leporidae,Lagomorpha,1800,30,730,760
Sylvilagus audubonii,Mammalia,Sylvilagus,Leporidae,Lagomorpha,900,29,164,193
Sylvilagus bachmani,Mammalia,Sylvilagus,Leporidae,Lagomorpha,700,27,154,181
Sylvilagus floridanus,Mammalia,Sylvilagus,Leporidae,Lagomorpha,1150,30,123,153
Sylvilagus nuttallii,Mammalia,Sylvilagus,Leporidae,Lagomorpha,760,30,121,151
Sylvilagus palustris,Mammalia,Sylvilagus,Leporidae,Lagomorpha,1233,34,219,253
Sylvilagus transitionalis,Mammalia,Sylvilagus,Leporidae,Lagomorpha,902.6,28,120,148
Ochotona collaris,Mammalia,Ochotona,Ochotonidae,Lagomorpha,129,30,365,395
Ochotona hyperborea,Mammalia,Ochotona,Ochotonidae,Lagomorpha,120,28,203,231
Ochotona princeps,Mammalia,Ochotona,Ochotonidae,Lagomorpha,100,30,347,377
Ochotona pusilla,Mammalia,Ochotona,Ochotonidae,Lagomorpha,262.5,30,31,61
Elephantulus intufi,Mammalia,Elephantulus,Macroscelididae,Macroscelidea,52,52,335,387
Galegeeska rufescens,Mammalia,Galegeeska,Macroscelididae,Macroscelidea,58,61,50,111
Macroscelides proboscideus,Mammalia,Macroscelides,Macroscelididae,Macroscelidea,40,65,44,109
Rhynchocyon chrysopygus,Mammalia,Rhynchocyon,Macroscelididae,Macroscelidea,540,42,38,80
Ornithorhynchus anatinus,Mammalia,Ornithorhynchus,Ornithorhynchidae,Monotremata,1250,17,548,565
Tachyglossus aculeatus,Mammalia,Tachyglossus,Tachyglossidae,Monotremata,3500,22,548,570
Isoodon auratus,Mammalia,Isoodon,Peramelidae,Peramelemorphia,485,12,171,183
Isoodon macrourus,Mammalia,Isoodon,Peramelidae,Peramelemorphia,1600,12,122,134
Isoodon obesulus,Mammalia,Isoodon,Peramelidae,Peramelemorphia,700,15,210,225
Perameles bougainville,Mammalia,Perameles,Peramelidae,Peramelemorphia,226,12,120,132
Perameles gunnii,Mammalia,Perameles,Peramelidae,Peramelemorphia,766,12,91,103
Perameles nasuta,Mammalia,Perameles,Peramelidae,Peramelemorphia,859,12,135,147
Peroryctes raffrayana,Mammalia,Peroryctes,Peroryctidae,Peramelemorphia,675,15,90,105
Macrotis lagotis,Mammalia,Macrotis,Peramelidae,Peramelemorphia,1300,17,150,167
Equus asinus,Mammalia,Equus,Equidae,Perissodactyla,164998,359,708,1067
Equus caballus,Mammalia,Equus,Equidae,Perissodactyla,300000,337,914,1251
Equus grevyi,Mammalia,Equus,Equidae,Perissodactyla,384000,406,1278,1684
Equus hemionus,Mammalia,Equus,Equidae,Perissodactyla,230000,339,1157,1496
Equus kiang,Mammalia,Equus,Equidae,Perissodactyla,275000,299,1001,1300
Equus quagga,Mammalia,Equus,Equidae,Perissodactyla,280000,365,900,1265
Equus zebra,Mammalia,Equus,Equidae,Perissodactyla,296000,362,1009,1371
Ceratotherium simum,Mammalia,Ceratotherium,Rhinocerotidae,Perissodactyla,2175000,515,1643,2158
Dicerorhinus sumatrensis,Mammalia,Dicerorhinus,Rhinocerotidae,Perissodactyla,1260000,236,2738,2974
Diceros bicornis,Mammalia,Diceros,Rhinocerotidae,Perissodactyla,1100000,474,1826,2300
Rhinoceros sondaicus,Mammalia,Rhinoceros,Rhinocerotidae,Perissodactyla,1750000,502,1278,1780
Rhinoceros unicornis,Mammalia,Rhinoceros,Rhinocerotidae,Perissodactyla,1602330,479,1678,2157
Tapirus pinchaque,Mammalia,Tapirus,Tapiridae,Perissodactyla,148950,398,1114,1512
Tapirus terrestris,Mammalia,Tapirus,Tapiridae,Perissodactyla,250000,398,1095,1493
Manis crassicaudata,Mammalia,Manis,Manidae,Pholidota,13014.7,67,755,822
Bradypus tridactylus,Mammalia,Bradypus,Bradypodidae,Pilosa,4250,141,1642,1783
Choloepus didactylus,Mammalia,Choloepus,Megalonychidae,Pilosa,6250,279,1279,1558
Choloepus hoffmanni,Mammalia,Choloepus,Megalonychidae,Pilosa,6250,350,730,1080
Myrmecophaga tridactyla,Mammalia,Myrmecophaga,Myrmecophagidae,Pilosa,28500,184,1186,1370
Tamandua mexicana,Mammalia,Tamandua,Myrmecophagidae,Pilosa,4500,163,365,528
Tamandua tetradactyla,Mammalia,Tamandua,Myrmecophagidae,Pilosa,4500,160,365,525
Aotus lemurinus,Mammalia,Aotus,Aotidae,Primates,874,135,755,890
Aotus trivirgatus,Mammalia,Aotus,Aotidae,Primates,800,142,821,963
Alouatta caraya,Mammalia,Alouatta,Atelidae,Primates,5462.5,187,1167,1354
Alouatta palliata,Mammalia,Alouatta,Atelidae,Primates,7000,186,1095,1281
Alouatta sara,Mammalia,Alouatta,Atelidae,Primates,6611,190,1673,1863
Alouatta seniculus,Mammalia,Alouatta,Atelidae,Primates,6543.2,190,1475,1665
Ateles belzebuth,Mammalia,Ateles,Atelidae,Primates,7535,184,1461,1645
Ateles chamek,Mammalia,Ateles,Atelidae,Primates,6000,204,1591,1795
Ateles fusciceps,Mammalia,Ateles,Atelidae,Primates,7000,227,1515,1742
Ateles geoffroyi,Mammalia,Ateles,Atelidae,Primates,7267.5,232,1825,2057
Ateles marginatus,Mammalia,Ateles,Atelidae,Primates,6000,141,1461,1602
Ateles paniscus,Mammalia,Ateles,Atelidae,Primates,7887.5,229,1516,1745
Brachyteles arachnoides,Mammalia,Brachyteles,Atelidae,Primates,11170,232,2738,2970
Callimico goeldii,Mammalia,Callimico,Cebidae,Primates,555,153,365,518
Callithrix geoffroyi,Mammalia,Callithrix,Cebidae,Primates,342,144,477,621
Callithrix jacchus,Mammalia,Callithrix,Cebidae,Primates,255.2,144,477,621
Callithrix kuhlii,Mammalia,Callithrix,Cebidae,Primates,342,144,477,621
Callithrix penicillata,Mammalia,Callithrix,Cebidae,Primates,307,144,477,621
Cebuella pygmaea,Mammalia,Cebuella,Cebidae,Primates,124,125,684,809
Leontocebus fuscicollis,Mammalia,Leontocebus,Cebidae,Primates,456.5,147,546,693
Leontocebus nigricollis,Mammalia,Leontocebus,Cebidae,Primates,519.2,140,850,990
Leontopithecus chrysomelas,Mammalia,Leontopithecus,Cebidae,Primates,535,132,654,786
Leontopithecus chrysopygus,Mammalia,Leontopithecus,Cebidae,Primates,570,132,654,786
Leontopithecus rosalia,Mammalia,Leontopithecus,Cebidae,Primates,654.5,128,547,675
Mico argentatus,Mammalia,Mico,Cebidae,Primates,343.2,144,304,448
Mico humeralifer,Mammalia,Mico,Cebidae,Primates,355.8,144,304,448
Saguinus geoffroyi,Mammalia,Saguinus,Cebidae,Primates,499.3,142,548,690
Saguinus imperator,Mammalia,Saguinus,Cebidae,Primates,518.5,145,546,691
Saguinus midas,Mammalia,Saguinus,Cebidae,Primates,553.8,127,608,735
Saguinus mystax,Mammalia,Saguinus,Cebidae,Primates,543.5,145,486,631
Saguinus oedipus,Mammalia,Saguinus,Cebidae,Primates,445.5,178,548,726
Cebus albifrons,Mammalia,Cebus,Cebidae,Primates,2467.5,158,1310,1468
Cebus capucinus,Mammalia,Cebus,Cebidae,Primates,2655,162,1505,1667
Cebus olivaceus,Mammalia,Cebus,Cebidae,Primates,2552.5,162,2190,2352
Saimiri boliviensis,Mammalia,Saimiri,Cebidae,Primates,615,158,1091,1249
Saimiri sciureus,Mammalia,Saimiri,Cebidae,Primates,925,161,1003,1164
Sapajus apella,Mammalia,Sapajus,Cebidae,Primates,2642.5,158,1703,1861
Cercocebus agilis,Mammalia,Cercocebus,Cercopithecidae,Primates,8000,170,1536,1706
Cercocebus galeritus,Mammalia,Cercocebus,Cercopithecidae,Primates,9467.5,175,2267,2442
Cercocebus torquatus,Mammalia,Cercocebus,Cercopithecidae,Primates,9492.5,167,973,1140
Cercopithecus ascanius,Mammalia,Cercopithecus,Cercopithecidae,Primates,3705,147,1642,1789
Cercopithecus campbelli,Mammalia,Cercopithecus,Cercopithecidae,Primates,3600,180,1095,1275
Cercopithecus cephus,Mammalia,Cercopithecus,Cercopithecidae,Primates,3585,172,1460,1632
Cercopithecus erythrogaster,Mammalia,Cercopithecus,Cercopithecidae,Primates,3250,172,1572,1744
Cercopithecus mitis,Mammalia,Cercopithecus,Cercopithecidae,Primates,9000,132,1673,1805
Cercopithecus neglectus,Mammalia,Cercopithecus,Cercopithecidae,Primates,5945,177,1611,1788
Cercopithecus nictitans,Mammalia,Cercopithecus,Cercopithecidae,Primates,5465,172,1460,1632
Cercopithecus pogonias,Mammalia,Cercopithecus,Cercopithecidae,Primates,3580,165,1460,1625
Cercopithecus wolfi,Mammalia,Cercopithecus,Cercopithecidae,Primates,3390,170,1685,1855
Chlorocebus aethiops,Mammalia,Chlorocebus,Cercopithecidae,Primates,5620,162,1034,1196
Colobus angolensis,Mammalia,Colobus,Cercopithecidae,Primates,8625,191,1642,1833
Colobus guereza,Mammalia,Colobus,Cercopithecidae,Primates,9950,175,1461,1636
Colobus polykomos,Mammalia,Colobus,Cercopithecidae,Primates,9525,185,1642,1827
Erythrocebus patas,Mammalia,Erythrocebus,Cercopithecidae,Primates,7750,167,956,1123
Lophocebus albigena,Mammalia,Lophocebus,Cercopithecidae,Primates,9317.5,181,1460,1641
Macaca arctoides,Mammalia,Macaca,Cercopithecidae,Primates,9275,177,1186,1363
Macaca fascicularis,Mammalia,Macaca,Cercopithecidae,Primates,6362.5,165,1238,1403
Macaca fuscata,Mammalia,Macaca,Cercopithecidae,Primates,8882.5,174,1483,1657
Macaca maura,Mammalia,Macaca,Cercopithecidae,Primates,5575,165,1825,1990
Macaca mulatta,Mammalia,Macaca,Cercopithecidae,Primates,8235,165,1231,1396
Macaca nemestrina,Mammalia,Macaca,Cercopithecidae,Primates,7912.5,172,1125,1297
Macaca nigra,Mammalia,Macaca,Cercopithecidae,Primates,7965,176,1490,1666
Macaca ochreata,Mammalia,Macaca,Cercopithecidae,Primates,3950,172,1490,1662
Macaca radiata,Mammalia,Macaca,Cercopithecidae,Primates,6755,161,1295,1456
Macaca silenus,Mammalia,Macaca,Cercopithecidae,Primates,7875,176,1429,1605
Macaca sinica,Mammalia,Macaca,Cercopithecidae,Primates,4370,152,1460,1612
Macaca sylvanus,Mammalia,Macaca,Cercopithecidae,Primates,10875,164,1399,1563
Macaca thibetana,Mammalia,Macaca,Cercopithecidae,Primates,10300,170,1454,1624
Mandrillus leucophaeus,Mammalia,Mandrillus,Cercopithecidae,Primates,18250,179,1277,1456
Mandrillus sphinx,Mammalia,Mandrillus,Cercopithecidae,Primates,23000,173,1186,1359
Miopithecus talapoin,Mammalia,Miopithecus,Cercopithecidae,Primates,1384.5,169,1395,1564
Nasalis larvatus,Mammalia,Nasalis,Cercopithecidae,Primates,14617.5,166,1460,1626
Papio hamadryas,Mammalia,Papio,Cercopithecidae,Primates,18000,171,1514,1685
Pygathrix nemaeus,Mammalia,Pygathrix,Cercopithecidae,Primates,9720,171,1460,1631
Rhinopithecus bieti,Mammalia,Rhinopithecus,Cercopithecidae,Primates,9960,170,755,925
Semnopithecus entellus,Mammalia,Semnopithecus,Cercopithecidae,Primates,13516.5,192,1162,1354
Trachypithecus vetulus,Mammalia,Trachypithecus,Cercopithecidae,Primates,7081.8,211,1278,1489
Theropithecus gelada,Mammalia,Theropithecus,Cercopithecidae,Primates,16200,168,1391,1559
Trachypithecus cristatus,Mammalia,Trachypithecus,Cercopithecidae,Primates,6185,150,1461,1611
Trachypithecus obscurus,Mammalia,Trachypithecus,Cercopithecidae,Primates,7080,145,1461,1606
Trachypithecus phayrei,Mammalia,Trachypithecus,Cercopithecidae,Primates,8400,167,1461,1628
Cheirogaleus major,Mammalia,Cheirogaleus,Cheirogaleidae,Primates,395,65,365,430
Cheirogaleus medius,Mammalia,Cheirogaleus,Cheirogaleidae,Primates,380,61,365,426
Microcebus murinus,Mammalia,Microcebus,Cheirogaleidae,Primates,64.8,61,243,304
Microcebus rufus,Mammalia,Microcebus,Cheirogaleidae,Primates,55.5,61,299,360
Mirza coquereli,Mammalia,Mirza,Cheirogaleidae,Primates,311.2,89,312,401
Daubentonia madagascariensis,Mammalia,Daubentonia,Daubentoniidae,Primates,2277.5,165,882,1047
Galago moholi,Mammalia,Galago,Galagidae,Primates,169.2,124,146,270
Galago senegalensis,Mammalia,Galago,Galagidae,Primates,192.2,126,240,366
Galagoides demidoff,Mammalia,Galagoides,Galagidae,Primates,60,111,256,367
Otolemur crassicaudatus,Mammalia,Otolemur,Galagidae,Primates,1094.5,130,495,625
Otolemur garnettii,Mammalia,Otolemur,Galagidae,Primates,1300,132,600,732
Paragalago zanzibaricus,Mammalia,Paragalago,Galagidae,Primates,146.8,120,265,385
Galago alleni,Mammalia,Galago,Galagidae,Primates,273,133,243,376
Gorilla gorilla,Mammalia,Gorilla,Hominidae,Primates,139842,256,2829,3085
Homo sapiens,Mammalia,Homo,Hominidae,Primates,62035,280,4745,5025
Pan paniscus,Mammalia,Pan,Hominidae,Primates,39925,232,3194,3426
Pan troglodytes,Mammalia,Pan,Hominidae,Primates,44983.5,229,3376,3605
Pongo pygmaeus,Mammalia,Pongo,Hominidae,Primates,64475,249,2555,2804
Hylobates agilis,Mammalia,Hylobates,Hylobatidae,Primates,5925,216,2849,3065
Hylobates lar,Mammalia,Hylobates,Hylobatidae,Primates,6810,217,2555,2772
Hylobates moloch,Mammalia,Hylobates,Hylobatidae,Primates,6207.5,243,2849,3092
Hylobates muelleri,Mammalia,Hylobates,Hylobatidae,Primates,5765,207,2849,3056
Hylobates pileatus,Mammalia,Hylobates,Hylobatidae,Primates,5735,228,2555,2783
Nomascus concolor,Mammalia,Nomascus,Hylobatidae,Primates,6852.5,207,3080,3287
Nomascus leucogenys,Mammalia,Nomascus,Hylobatidae,Primates,6000,208,3069,3277
Symphalangus syndactylus,Mammalia,Symphalangus,Hylobatidae,Primates,10900,231,2190,2421
Propithecus diadema,Mammalia,Propithecus,Indriidae,Primates,5550,157,1186,1343
Propithecus verreauxi,Mammalia,Propithecus,Indriidae,Primates,5000,148,912,1060
Eulemur coronatus,Mammalia,Eulemur,Lemuridae,Primates,1645,126,608,734
Eulemur fulvus,Mammalia,Eulemur,Lemuridae,Primates,2485,118,509,627
Eulemur macaco,Mammalia,Eulemur,Lemuridae,Primates,2467,120,540,660
Eulemur mongoz,Mammalia,Eulemur,Lemuridae,Primates,1555,120,650,770
Eulemur rubriventer,Mammalia,Eulemur,Lemuridae,Primates,2191.5,120,646,766
Hapalemur griseus,Mammalia,Hapalemur,Lemuridae,Primates,1012.5,145,880,1025
Lemur catta,Mammalia,Lemur,Lemuridae,Primates,2555,135,595,730
Varecia rubra,Mammalia,Varecia,Lemuridae,Primates,3601.3,98,609,707
Varecia variegata,Mammalia,Varecia,Lemuridae,Primates,3482.3,98,605,703
Lepilemur mustelinus,Mammalia,Lepilemur,Lepilemuridae,Primates,700,135,592,727
Lepilemur ruficaudatus,Mammalia,Lepilemur,Lepilemuridae,Primates,779,136,595,731
Arctocebus calabarensis,Mammalia,Arctocebus,Lorisidae,Primates,257.5,133,279,412
Loris tardigradus,Mammalia,Loris,Lorisidae,Primates,238.2,166,380,546
Nycticebus coucang,Mammalia,Nycticebus,Lorisidae,Primates,890.5,188,578,766
Xanthonycticebus pygmaeus,Mammalia,Xanthonycticebus,Lorisidae,Primates,419,188,273,461
Perodicticus potto,Mammalia,Perodicticus,Lorisidae,Primates,919.9,170,547,717
Cacajao calvus,Mammalia,Cacajao,Pitheciidae,Primates,3165,182,1204,1386
Chiropotes albinasus,Mammalia,Chiropotes,Pitheciidae,Primates,2910,160,1460,1620
Chiropotes satanas,Mammalia,Chiropotes,Pitheciidae,Primates,2942.5,160,1460,1620
Pithecia pithecia,Mammalia,Pithecia,Pitheciidae,Primates,1480,158,775,933
Plecturocebus cupreus,Mammalia,Plecturocebus,Pitheciidae,Primates,1120,132,1096,1228
Plecturocebus moloch,Mammalia,Plecturocebus,Pitheciidae,Primates,804,163,912,1075
Cephalopachus bancanus,Mammalia,Cephalopachus,Tarsiidae,Primates,122.5,178,920,1098
Tarsius tarsier,Mammalia,Tarsius,Tarsiidae,Primates,144.8,157,425,582
Elephas maximus,Mammalia,Elephas,Elephantidae,Proboscidea,3178000,644,3287,3931
Loxodonta africana,Mammalia,Loxodonta,Elephantidae,Proboscidea,4800000,670,4018,4688
Aplodontia rufa,Mammalia,Aplodontia,Aplodontiidae,Rodentia,1125,29,730,759
Fukomys damarensis,Mammalia,Fukomys,Bathyergidae,Rodentia,180,93,511,604
Cryptomys hottentotus,Mammalia,Cryptomys,Bathyergidae,Rodentia,132.5,81,450,531
Georychus capensis,Mammalia,Georychus,Bathyergidae,Rodentia,181,44,304,348
Heterocephalus glaber,Mammalia,Heterocephalus,Bathyergidae,Rodentia,35,70,228,298
Capromys pilorides,Mammalia,Capromys,Capromyidae,Rodentia,4683.3,125,304,429
Geocapromys brownii,Mammalia,Geocapromys,Capromyidae,Rodentia,1500,123,365,488
Geocapromys ingrahami,Mammalia,Geocapromys,Capromyidae,Rodentia,660,117,730,847
Castor canadensis,Mammalia,Castor,Castoridae,Rodentia,20250,128,639,767
Castor fiber,Mammalia,Castor,Castoridae,Rodentia,25000,105,639,744
Cavia aperea,Mammalia,Cavia,Caviidae,Rodentia,341,63,74,137
Cavia porcellus,Mammalia,Cavia,Caviidae,Rodentia,728,68,66,134
Cavia tschudii,Mammalia,Cavia,Caviidae,Rodentia,637.5,64,62,126
Dolichotis patagonum,Mammalia,Dolichotis,Caviidae,Rodentia,12500,85,158,243
Galea musteloides,Mammalia,Galea,Caviidae,Rodentia,337.9,54,66,120
Galea spixii,Mammalia,Galea,Caviidae,Rodentia,450,53,70,123
Hydrochoerus hydrochaeris,Mammalia,Hydrochoerus,Hydrochaeridae,Rodentia,55000,150,456,606
Kerodon rupestris,Mammalia,Kerodon,Caviidae,Rodentia,950,75,151,226
Chinchilla lanigera,Mammalia,Chinchilla,Chinchillidae,Rodentia,642.5,111,240,351
Lagidium peruanum,Mammalia,Lagidium,Chinchillidae,Rodentia,1250,140,365,505
Lagostomus maximus,Mammalia,Lagostomus,Chinchillidae,Rodentia,6000,154,258,412
Arvicola amphibius,Mammalia,Arvicola,Cricetidae,Rodentia,120,21,51,72
Baiomys taylori,Mammalia,Baiomys,Cricetidae,Rodentia,8,20,44,64
Cricetus cricetus,Mammalia,Cricetus,Cricetidae,Rodentia,506.7,20,43,63
Dicrostonyx groenlandicus,Mammalia,Dicrostonyx,Cricetidae,Rodentia,66,20,40,60
Dicrostonyx richardsoni,Mammalia,Dicrostonyx,Cricetidae,Rodentia,55,21,91,112
Dicrostonyx torquatus,Mammalia,Dicrostonyx,Cricetidae,Rodentia,85,18,91,109
Eligmodontia typus,Mammalia,Eligmodontia,Cricetidae,Rodentia,21.4,18,49,67
Ellobius talpinus,Mammalia,Ellobius,Cricetidae,Rodentia,40,26,94,120
Lagurus lagurus,Mammalia,Lagurus,Cricetidae,Rodentia,20.3,20,38,58
Lemmus lemmus,Mammalia,Lemmus,Cricetidae,Rodentia,70,19,24,43
Mesocricetus auratus,Mammalia,Mesocricetus,Cricetidae,Rodentia,105,16,48,64
Mesocricetus brandti,Mammalia,Mesocricetus,Cricetidae,Rodentia,174,15,41,56
Microtus agrestis,Mammalia,Microtus,Cricetidae,Rodentia,46,21,36,57
Microtus arvalis,Mammalia,Microtus,Cricetidae,Rodentia,27.5,21,38,59
Microtus guentheri,Mammalia,Microtus,Cricetidae,Rodentia,51.6,21,60,81
Microtus ochrogaster,Mammalia,Microtus,Cricetidae,Rodentia,40,23,47,70
Alexandromys oeconomus,Mammalia,Alexandromys,Cricetidae,Rodentia,58,22,30,52
Microtus pennsylvanicus,Mammalia,Microtus,Cricetidae,Rodentia,49,21,29,50
Microtus pinetorum,Mammalia,Microtus,Cricetidae,Rodentia,25.5,21,98,119
Microtus subterraneus,Mammalia,Microtus,Cricetidae,Rodentia,20,22,96,118
Myodes glareolus,Mammalia,Myodes,Cricetidae,Rodentia,20.8,20,47,67
Myopus schisticolor,Mammalia,Myopus,Cricetidae,Rodentia,25,22,33,55
Neotoma albigula,Mammalia,Neotoma,Cricetidae,Rodentia,209,29,84,113
Neotoma cinerea,Mammalia,Neotoma,Cricetidae,Rodentia,335.5,30,353,383
Neotoma floridana,Mammalia,Neotoma,Cricetidae,Rodentia,291,33,95,128
Neotoma lepida,Mammalia,Neotoma,Cricetidae,Rodentia,236,33,76,109
Neotoma micropus,Mammalia,Neotoma,Cricetidae,Rodentia,236.3,35,136,171
Ondatra zibethicus,Mammalia,Ondatra,Cricetidae,Rodentia,1362,26,285,311
Onychomys leucogaster,Mammalia,Onychomys,Cricetidae,Rodentia,32.5,31,100,131
Onychomys torridus,Mammalia,Onychomys,Cricetidae,Rodentia,22,30,41,71
Peromyscus californicus,Mammalia,Peromyscus,Cricetidae,Rodentia,42,30,46,76
Peromyscus crinitus,Mammalia,Peromyscus,Cricetidae,Rodentia,16.5,24,70,94
Peromyscus eremicus,Mammalia,Peromyscus,Cricetidae,Rodentia,25,26,129,155
Peromyscus guatemalensis,Mammalia,Peromyscus,Cricetidae,Rodentia,40,31,50,81
Peromyscus leucopus,Mammalia,Peromyscus,Cricetidae,Rodentia,23,26,73,99
Peromyscus maniculatus,Mammalia,Peromyscus,Cricetidae,Rodentia,20.5,24,49,73
Peromyscus polionotus,Mammalia,Peromyscus,Cricetidae,Rodentia,14,24,28,52
Peromyscus truei,Mammalia,Peromyscus,Cricetidae,Rodentia,25,26,50,76
Phenacomys intermedius,Mammalia,Phenacomys,Cricetidae,Rodentia,33,22,37,59
Phenacomys ungava,Mammalia,Phenacomys,Cricetidae,Rodentia,27,23,38,61
Phodopus sungorus,Mammalia,Phodopus,Cricetidae,Rodentia,23.4,20,120,140
Phyllotis darwini,Mammalia,Phyllotis,Cricetidae,Rodentia,50.8,34,57,91
Podomys floridanus,Mammalia,Podomys,Cricetidae,Rodentia,32,23,40,63
Reithrodontomys humulis,Mammalia,Reithrodontomys,Cricetidae,Rodentia,10.3,23,105,128
Reithrodontomys megalotis,Mammalia,Reithrodontomys,Cricetidae,Rodentia,11,23,107,130
Scotinomys teguina,Mammalia,Scotinomys,Cricetidae,Rodentia,11.2,31,34,65
Sigmodon hispidus,Mammalia,Sigmodon,Cricetidae,Rodentia,185,27,40,67
Tylomys nudicaudus,Mammalia,Tylomys,Cricetidae,Rodentia,280,40,82,122
Ctenodactylus gundi,Mammalia,Ctenodactylus,Ctenodactylidae,Rodentia,288.8,74,319,393
Ctenomys talarum,Mammalia,Ctenomys,Ctenomyidae,Rodentia,100,102,243,345
Cuniculus paca,Mammalia,Cuniculus,Cuniculidae,Rodentia,9000,116,365,481
Cuniculus taczanowskii,Mammalia,Cuniculus,Cuniculidae,Rodentia,8999.9,115,342,457
Dasyprocta leporina,Mammalia,Dasyprocta,Dasyproctidae,Rodentia,3265,112,193,305
Dasyprocta punctata,Mammalia,Dasyprocta,Dasyproctidae,Rodentia,2150,112,487,599
Myoprocta acouchy,Mammalia,Myoprocta,Dasyproctidae,Rodentia,775,99,304,403
Jaculus jaculus,Mammalia,Jaculus,Dipodidae,Rodentia,55,38,327,365
Napaeozapus insignis,Mammalia,Napaeozapus,Dipodidae,Rodentia,25,29,256,285
Sicista betulina,Mammalia,Sicista,Dipodidae,Rodentia,8,31,365,396
